site,fieldseason_site,field_season,geo_region,fpressure,flevel,nut_time_sample,nut_sample_id,nitrate_plus_nitrite_uM_mean,nitrate_plus_nitrite_uM_se,Flag.Nitrate_plus_Nitrite,silicate_uM_mean,silicate_uM_se,Flag.Silicate,phosphate_uM_mean,phosphate_uM_se,Flag.Phosphate,nutrient_comments,prod_aq_date_sample,prod_aq_time_sample,prod_mean_aq,prod_se_aq,rain_aq,wind_aq,notes_aquafluor,prod_f_date_collected,prod_f_time_sample,prod_f_packet_number,prod_f_sample_id,prod_mean_f,prod_se_f,turb_aq_date_sample,turb_aq_time_sample,turb_mean_aq,turb_se_aq,rain_turb_aq,wind_turb_aq,notes_turb_aquafluor,ysi_date_sample,ysi_temp_mean_1m,ysi_temp_se_1m,ysi_salinity_mean_1m,ysi_salinity_se_1m,ysi_DO_mean_1m,ysi_DO_se_1m,ysi_DO_mgL_mean_1m,ysi_DO_mgL_se_1m,ysi_pH_mean_1m,ysi_pH_se_1m,vis_date_observed,visibility_m,long,lat,npp_mean_sat,npp_min_sat,npp_max_sat,npp_sd_sat,npp_interann_sd_sat,npp_flag_sat,wave_mean_sat,wave_sd_sat,wave_interann_sd_sat,wave_wind_fetch_sat,wave_ww3_res_sat
35,2015c_35,2015c,s.lagoon,Medium,3,8:47,KI15cNUT05_N1,1.32,NA,NA,9.316666667,NA,4,0.435333333,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,NA,NA,NA,NA,NA,NA,NA,11/7/2015,13:00,16,KI15c_16,0.089795234,0.008301965,NA,NA,NA,NA,NA,NA,NA,11/7/2015,29.31666667,0.054262735,35.29,0.015275252,95.83333333,0.703167437,NA,NA,7.895,0.058920851,11-Jul-15,10.668,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2014_35,2014,s.lagoon,Medium,3,1:00,K114SW02_N2,1.53,0.034641016,NA,12.57666667,0.785903585,NA,0.634333333,0.190814337,NA,NA,8/24/2014,NA,5.189,0.431625223,N,Y,Back at Ikari,8/21/2014,16:00,1,KI14_1,1.446053125,0.052568358,8/24/2014,NA,-0.067666667,0.27260309,N,Y,Back at Ikari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21/08/2014,13.7,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2014_35,2014,s.lagoon,Medium,3,1:00,K114SW02_N2,1.53,0.034641016,NA,12.57666667,0.785903585,NA,0.634333333,0.190814337,NA,NA,8/24/2014,NA,5.189,0.431625223,N,Y,Back at Ikari,8/21/2014,16:00,1,KI14_1,1.446053125,0.052568358,8/24/2014,NA,-0.067666667,0.27260309,N,Y,Back at Ikari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/08/2014,18.3,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2015b_35,2015b,s.lagoon,Medium,3,12:20,KI15bNUT_001,2.083333333,NA,NA,10.64666667,NA,4,0.437333333,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,4/30/2015,12:22,8.615333333,0.948240534,N,Y,,4/5/2015,8:30,13,KI15b_13,0.122914516,0.004046465,5/4/2015,8:30,-1.735666667,0.084792557,Y,Y,,4/30/2015,29.06666667,0.033333333,NA,NA,104.3,1.913983629,6.586666667,0.113333333,8.066666667,0.008819171,30/04/2015,9.144,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2017_35,2017,s.lagoon,Medium,3,12:30,KI17SW008_N3,3.415,NA,NA,1.785,NA,NA,0.386,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-Jul-17,28.93333333,0.033333333,35.52333333,0.028480012,92.9,0.152752523,5.883333333,0.016666667,8.043333333,0.003333333,6-Jul-17,25,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2016b_35,2016b,s.lagoon,Medium,3,12:15,KI16b_01_N1,4.233333333,NA,NA,14.26666667,NA,4,0.659,NA,NA,NUTS:  Silicate values should be viewed with suspicion as samples were collected and stored in glass vials,NA,NA,NA,NA,NA,NA,NA,10-Nov-16,12:35,1,KI16b_1,0.266353656,0.005424893,NA,NA,NA,NA,NA,NA,NA,20-Nov-16,25.7,0,34.94,0,76.8,0.450924975,5.143333333,0.028480012,7.913333333,0.006666667,10-Nov-16,10,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2015b_35,2015b,s.lagoon,Medium,3,12:20,KI15bNUT_001,2.083333333,NA,NA,10.64666667,NA,4,0.437333333,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,4/30/2015,12:22,8.615333333,0.948240534,N,Y,,4/5/2015,8:30,13,KI15b_13,0.122914516,0.004046465,5/4/2015,8:30,-1.735666667,0.084792557,Y,Y,,5/4/2015,29,0,35.13333333,0.003333333,90.16666667,0.317979734,5.69,0.037859389,7.986666667,0.003333333,30/04/2015,9.144,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2017_35,2017,s.lagoon,Medium,3,12:30,KI17SW008_N3,3.415,NA,NA,1.785,NA,NA,0.386,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-Jul-17,28.93333333,0.033333333,35.52333333,0.028480012,92.9,0.152752523,5.883333333,0.016666667,8.043333333,0.003333333,24-Jul-17,25,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2017_35,2017,s.lagoon,Medium,3,12:30,KI17SW008_N3,3.415,NA,NA,1.785,NA,NA,0.386,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-Jul-17,28.93333333,0.033333333,35.52333333,0.028480012,92.9,0.152752523,5.883333333,0.016666667,8.043333333,0.003333333,11-Jul-17,25,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2015a_35,2015a,s.lagoon,Medium,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/2/2015,15.42,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2016a_35,2016a,s.lagoon,Medium,3,16:20,K116aSW003_N1,2.086666667,NA,NA,5.976666667,NA,4,0.515666667,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,20-Mar-16,,3.327666667,0.245856553,Y,Y,"Started Aquafluor at 1003h. Started YSI sampling 1025h. 5 min heavy rain shower between Aquafluor and YSI readings, & rain shower this morning",19-Mar-16,16:20,003_CHL1,KI16a003_CHL1,0.059311502,0.007559421,20-Mar-16,,1.627333333,0.145281719,Y,Y,"Started Aquafluor at 1003h. Started YSI sampling 1025h. 5 min heavy rain shower between Aquafluor and YSI readings, & rain shower this morning",19-Mar-16,29.1,0,35.4175,0.011086779,100,0.809320703,6.3775,0.035677958,8.005,0.065128079,19-Mar-16,20,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2016a_35,2016a,s.lagoon,Medium,3,16:20,K116aSW003_N1,2.086666667,NA,NA,5.976666667,NA,4,0.515666667,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,20-Mar-16,,3.327666667,0.245856553,Y,Y,"Started Aquafluor at 1003h. Started YSI sampling 1025h. 5 min heavy rain shower between Aquafluor and YSI readings, & rain shower this morning",19-Mar-16,16:20,003_CHL1,KI16a003_CHL1,0.059311502,0.007559421,20-Mar-16,,1.627333333,0.145281719,Y,Y,"Started Aquafluor at 1003h. Started YSI sampling 1025h. 5 min heavy rain shower between Aquafluor and YSI readings, & rain shower this morning",20-Mar-16,28.575,0.025,35.4175,0.0025,88.125,0.278013789,5.6275,0.0075,7.9425,0.006291529,24-Mar-16,10,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2016a_35,2016a,s.lagoon,Medium,3,16:20,K116aSW003_N1,2.086666667,NA,NA,5.976666667,NA,4,0.515666667,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,20-Mar-16,,3.327666667,0.245856553,Y,Y,"Started Aquafluor at 1003h. Started YSI sampling 1025h. 5 min heavy rain shower between Aquafluor and YSI readings, & rain shower this morning",19-Mar-16,16:20,003_CHL1,KI16a003_CHL1,0.059311502,0.007559421,20-Mar-16,,1.627333333,0.145281719,Y,Y,"Started Aquafluor at 1003h. Started YSI sampling 1025h. 5 min heavy rain shower between Aquafluor and YSI readings, & rain shower this morning",20-Mar-16,28.575,0.025,35.4175,0.0025,88.125,0.278013789,5.6275,0.0075,7.9425,0.006291529,19-Mar-16,20,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2016a_35,2016a,s.lagoon,Medium,3,16:20,K116aSW003_N1,2.086666667,NA,NA,5.976666667,NA,4,0.515666667,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,20-Mar-16,,3.327666667,0.245856553,Y,Y,"Started Aquafluor at 1003h. Started YSI sampling 1025h. 5 min heavy rain shower between Aquafluor and YSI readings, & rain shower this morning",19-Mar-16,16:20,003_CHL1,KI16a003_CHL1,0.059311502,0.007559421,20-Mar-16,,1.627333333,0.145281719,Y,Y,"Started Aquafluor at 1003h. Started YSI sampling 1025h. 5 min heavy rain shower between Aquafluor and YSI readings, & rain shower this morning",19-Mar-16,29.1,0,35.4175,0.011086779,100,0.809320703,6.3775,0.035677958,8.005,0.065128079,24-Mar-16,10,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2015c_35,2015c,s.lagoon,Medium,3,8:47,KI15cNUT05_N1,1.32,NA,NA,9.316666667,NA,4,0.435333333,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,NA,NA,NA,NA,NA,NA,NA,11/7/2015,13:00,16,KI15c_16,0.089795234,0.008301965,NA,NA,NA,NA,NA,NA,NA,11/7/2015,29.31666667,0.054262735,35.29,0.015275252,95.83333333,0.703167437,NA,NA,7.895,0.058920851,2-Jul-15,13.716,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2018_35,2018,s.lagoon,Medium,3,16:10,KI18SW005_N1,8.61,NA,NA,1.506666667,NA,NA,0.336666667,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-Jun-18,28.6,0.1,34.47333333,0.003333333,91.6,0.838649708,5.893333333,0.056960025,7.92,0.03,NA,NA,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
35,2014_35,2014,s.lagoon,Medium,3,1:00,K114SW02_N2,1.53,0.034641016,NA,12.57666667,0.785903585,NA,0.634333333,0.190814337,NA,NA,8/24/2014,NA,5.189,0.431625223,N,Y,Back at Ikari,8/21/2014,16:00,1,KI14_1,1.446053125,0.052568358,8/24/2014,NA,-0.067666667,0.27260309,N,Y,Back at Ikari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/9/2014,18.3,-157.54283,1.89417,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
